DISCIPLINE,c83ed8fc-94f3-4151-aa1b-63f2e45ec53f,Action Air
DISCIPLINE,7a20e947-7670-43ca-a276-d3c346378fb8,Handgun
DISCIPLINE,615241b2-84bc-4566-b480-26f8c106342d,Shotgun
DISCIPLINE,d947064a-0c40-4756-ad3a-39c0cd1b6f73,Rifle
DISCIPLINE,930d569e-ff21-4558-9483-9feb09d77379,Mini-Rifle
DISCIPLINE,3f52c074-f577-40b1-b940-fcaf3a8bf9cd,PCC
DISCIPLINE,00000000-0000-0000-0000-000000000000,Combined
CHAPTER,51f3fcde-9482-4240-9524-db2ebf89c9f5,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,c83ed8fc-94f3-4151-aa1b-63f2e45ec53f
CHAPTER,cf6c7be0-ee84-48f4-b8f6-60c1e1e2abdc,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,c83ed8fc-94f3-4151-aa1b-63f2e45ec53f
CHAPTER,1b772d97-51da-4a4a-aa40-afd1d5695615,Course Information,3,,c83ed8fc-94f3-4151-aa1b-63f2e45ec53f
CHAPTER,d8a86c2c-849a-4d77-8d18-a3ef246dc6b4,Range Equipment,4,,c83ed8fc-94f3-4151-aa1b-63f2e45ec53f
CHAPTER,49ce8a61-8aa8-49d3-841c-1b65a80da2f6,Competitor Equipment,5,,c83ed8fc-94f3-4151-aa1b-63f2e45ec53f
CHAPTER,384f1344-370c-4bb6-ba2d-6dcdb1ccef0d,Match Structure,6,,c83ed8fc-94f3-4151-aa1b-63f2e45ec53f
CHAPTER,da015437-3da2-4361-b55b-c82ef48019fb,Match Management,7,,c83ed8fc-94f3-4151-aa1b-63f2e45ec53f
CHAPTER,3b03ea36-4b70-4e17-b516-2d8ddd52c6a2,The Course of Fire,8,,c83ed8fc-94f3-4151-aa1b-63f2e45ec53f
CHAPTER,3411afa7-b902-49fe-aad8-d78547c97017,Scoring,9,,c83ed8fc-94f3-4151-aa1b-63f2e45ec53f
CHAPTER,18f3a7b3-0fd7-4807-9a17-00bcd28befc3,Penalties and Disqualifications,10,,c83ed8fc-94f3-4151-aa1b-63f2e45ec53f
CHAPTER,af238f4f-90f8-4b32-a40b-f0ae0afa98ba,Arbitration and Interpretation of Rules,11,,c83ed8fc-94f3-4151-aa1b-63f2e45ec53f
CHAPTER,9f5f931d-8e53-476f-a6da-89c15f093ce8,Miscellaneous Matters,12,,c83ed8fc-94f3-4151-aa1b-63f2e45ec53f
CHAPTER,3692e18f-b45a-4fb1-98aa-bf83199cc248,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,7a20e947-7670-43ca-a276-d3c346378fb8
CHAPTER,c4fe5406-4d02-4bc9-be5e-b94bd274558f,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,7a20e947-7670-43ca-a276-d3c346378fb8
CHAPTER,6ceabbbb-71cf-4c3c-9381-7af0de35e561,Course Information,3,,7a20e947-7670-43ca-a276-d3c346378fb8
CHAPTER,f60aba22-1291-4b2e-8494-b438250ed747,Range Equipment,4,,7a20e947-7670-43ca-a276-d3c346378fb8
CHAPTER,d95cbe18-19f0-4349-a292-9cc2b4a83aea,Competitor Equipment,5,,7a20e947-7670-43ca-a276-d3c346378fb8
