1a235d1e-b0c7-4faa-a982-9dcaa6e15439,Aftermarket,Items not manufactured by the OFM~ and/or bearing identifying marks of a different OFM. 
664899c5-055b-49ea-b8cd-bd072bfb7003,Aim / Aiming,Aligning the barrel of a firearm at targets. 
91f0dd4f-c69b-4fcb-8e4b-f0e3b8f66e27,Attempt at (COF),The period from issuance of the Start Signal to when the competitor indicates that he has finished shooting~ in response to Rule 8.3.6. 
4776590e-1689-422d-92e3-f67b09cef636,Barricade Stop ,A device fitted to a firearm~ the primary purpose of which is to increase stability on a barricade or another prop while firing shots. 
23678169-9bc1-46d0-ab03-2b043e60806d,Berm ,A raised structure of sand~ soil or other materials used to contain bullets and/or to separate one shooting bay and/or COF from another. 
5e4c727c-12d2-411b-a75c-774965a97a96,Bullet ,The projectile in a round intended to strike a target. 
580adfd8-8ed6-43a5-9ebb-b7fad828834a,Caliber ,The diameter of a bullet measured in millimeters (or thousandths of an inch). 
c3a9d719-10ba-44b7-b16a-0fe4c12f1985,Cartridge case ,The main body of a round~ which contains all component parts. 
f7192928-83c0-4540-99dc-dedb6bbcfa44,Chamber Safety Flag ,A brightly colored device~ no part of which resembles a round or any part thereof. The flag must be incapable of being inserted into a firearm which has a loaded chamber and must~ while fitted~ prevent a round from being inserted into the chamber. The flag must have an integral tab or ribbon clearly protruding from the firearm. 
b2e24829-a9ee-419e-964b-7f1fcf708883,Compensator,A device fitted to the muzzle end of a barrel to counter muzzle rise (usually by diverting away escaping gasses). 
c6e7e591-6c57-4587-b2aa-2c6efd6d7e4f,Detonation ,Ignition of the primer of a round~ other than by action of a firing pin~ where the bullet does not pass through the barrel (e.g. when the action of a firearm is being manually retracted~ when a round is dropped). 
60cf1fc6-ae3c-42b2-988d-a525f116c364,Discharge,See Shot. 
b2d8728e-7c96-4858-8388-9afc9f3c5613,Downrange,The general area of a stage~ shooting bay or range~ where the muzzle of a firearm may be safely pointed during a course of fire and/or where bullets are intended or are likely to impact. 
5edba5ef-b04f-4000-8e69-6f23caafb9cc,Dryfiring ,The activation of the trigger and/or action of a firearm which is totally devoid of 
3e255833-779c-4a84-9205-e673bc0ed526,ammunition, Dummy Ammunition..........Includes practice or training rounds~ blanks~ snap caps and empty cases. 
41a5b0a4-a2af-44b1-a847-46a6e1225ecc,Engage ,Firing a shot at a target. Firing a shot at~ but missing~ a target is not a "failure to engage". The malfunction of a firearm or a round which prevents a shot being fired~ is deemed to be a "failure to engage". 
